Charging Station ID,Location,Date,Total Sessions,Average Session Duration (mins),Peak Usage Time,Peak Usage Count,Revenue Generated ($),Energy Consumed (kWh),Average Charging Speed (kW),Average Session Cost ($),Payment Method,User Satisfaction Rating (out of 10),Charging Mode,Distance Traveled (km),Age Range,Gender,Vehicle Type,Charging Frequency (times per week),Favorite Charging Time,Favorite Charging Location,Compliance Status,Compliance Details,Regulatory Authority,Compliance Score (%),Compliance Challenges
CS011,Rajpath,45393,85,55,Evening,35,800,1350,21.8,9.88,Credit Card,7,Fast,90,18-24,Male,Electric Bike,3,Morning,Park,Compliant,Regular safety checks,EV Charging Board,90,None
CS012,Okhla Industrial Area,45394,90,60,Afternoon,38,850,1400,20.4,10,Mobile Wallet,8,Normal,85,25-35,Female,Electric Car,5,Afternoon,Home,Compliant,Safety standards adhered,EV Charging Authority,85,Limited maintenance staff
CS013,Hauz Khas,45395,95,50,Morning,40,900,1450,19,10.13,Debit Card,9,Fast,100,35-45,Male,Electric Car,6,Evening,Shopping Mall,Non-compliant,No clear signage,EV Charging Authority,80,Limited space for signs
CS014,Chandni Chowk,45396,100,45,Evening,42,950,1500,21.2,10.25,Credit Card,7,Normal,110,45-55,Female,Electric Car,7,Afternoon,Shopping Mall,Compliant,All safety measures followed,EV Charging Board,95,None
CS015,Greater Kailash,45397,105,55,Evening,45,1000,1550,22.7,10.38,Mobile Wallet,9,Fast,120,18-24,Male,Electric Car,5,Evening,Home,Non-compliant,No proper lighting,EV Charging Authority,80,Limited resources for upgrades
CS016,Rohini,45398,110,60,Afternoon,48,1050,1600,20.8,10.5,Debit Card,8,Normal,130,25-35,Female,Electric Car,6,Morning,Office,Compliant,Regular inspections,EV Charging Board,90,None
CS017,Karol Bagh,45399,115,50,Evening,50,1100,1650,19.5,10.63,Credit Card,7,Fast,140,35-45,Male,Electric Car,7,Afternoon,Shopping Mall,Non-compliant,No clear signage,EV Charging Authority,80,Limited space for signs
CS018,Lajpat Nagar,45400,120,45,Morning,52,1150,1700,22.5,10.75,Mobile Wallet,9,Fast,150,45-55,Female,Electric Car,5,Evening,Home,Compliant,Safety protocols followed,EV Charging Board,85,Limited maintenance staff
CS019,Mayur Vihar,45401,125,55,Evening,55,1200,1750,20,10.88,Debit Card,8,Normal,160,18-24,Male,Electric Car,6,Morning,Park,Non-compliant,No proper lighting,EV Charging Authority,80,Limited resources for upgrades
CS020,Rohini,45402,130,60,Afternoon,58,1250,1800,21.2,11,Credit Card,7,Fast,170,25-35,Female,Electric Car,7,Afternoon,Shopping Mall,Compliant,Regular audits conducted,EV Charging Board,92,None
CS021,Dwarka Sector 10,45403,135,50,Evening,60,1300,1850,19.8,11.13,Mobile Wallet,9,Normal,180,35-45,Male,Electric Car,5,Evening,Park,Non-compliant,No proper signage,EV Charging Authority,80,Limited space for signs
CS022,INA Market,45404,140,45,Morning,62,1350,1900,22,11.25,Debit Card,8,Fast,190,45-55,Female,Electric Car,6,Morning,Home,Compliant,Regular safety checks,EV Charging Board,88,None
CS023,Connaught Place,45405,145,55,Evening,65,1400,1950,20.5,11.38,Credit Card,7,Fast,200,18-24,Male,Electric Car,7,Evening,Shopping Mall,Non-compliant,No clear signage,EV Charging Authority,80,Limited space for signs
CS024,South Extension,45406,150,60,Afternoon,68,1450,2000,21.8,11.5,Mobile Wallet,9,Normal,210,25-35,Female,Electric Car,5,Afternoon,Park,Compliant,All safety measures followed,EV Charging Board,95,None
CS025,Cyber Hub,45407,155,50,Evening,70,1500,2050,19,11.63,Debit Card,8,Fast,220,35-45,Male,Electric Car,6,Morning,Office,Non-compliant,No proper lighting,EV Charging Authority,82,Limited resources for upgrades
CS026,Indira Gandhi Airport,45408,160,55,Morning,72,1550,2100,22.2,11.75,Credit Card,7,Normal,230,45-55,Female,Electric Car,7,Evening,Shopping Mall,Compliant,Regular safety checks,EV Charging Board,90,None
CS027,DLF Cyber City,45409,165,60,Afternoon,75,1600,2150,20.8,11.88,Mobile Wallet,9,Fast,240,18-24,Male,Electric Car,5,Afternoon,Home,Non-compliant,No proper signage,EV Charging Authority,80,Limited space for signs
CS028,India Gate,45410,170,65,Evening,78,1650,2200,22,12,Debit Card,8,Fast,250,35-45,Female,Electric Car,6,Morning,Shopping Mall,Compliant,All safety measures followed,EV Charging Board,95,None
CS029,Saket,45411,175,70,Evening,80,1700,2250,20.8,12.13,Credit Card,7,Fast,260,45-55,Male,Electric Car,7,Evening,Office,Non-compliant,No regular inspections,EV Charging Authority,80,Limited staff for checks
CS030,Dwarka,45412,180,75,Morning,82,1750,2300,21.2,12.25,Mobile Wallet,9,Normal,270,18-24,Female,Electric Car,5,Afternoon,Park,Compliant,Regular safety checks,EV Charging Board,88,None
CS031,Nehru Place,45413,185,80,Evening,85,1800,2350,20.5,12.38,Debit Card,8,Fast,280,25-35,Male,Electric Car,6,Morning,Shopping Mall,Non-compliant,No proper lighting,EV Charging Authority,82,Limited resources for upgrades
CS032,Janakpuri,45414,190,85,Afternoon,88,1850,2400,21.8,12.5,Credit Card,7,Fast,290,35-45,Female,Electric Car,7,Evening,Home,Compliant,Regular safety checks,EV Charging Board,90,None
CS033,Rajpath,45415,195,90,Evening,90,1900,2450,19.8,12.63,Mobile Wallet,9,Normal,300,18-24,Male,Electric Bike,3,Afternoon,Park,Non-compliant,No proper signage,EV Charging Authority,80,Limited space for signs
CS034,Okhla Industrial Area,45416,200,95,Morning,92,1950,2500,22.1,12.75,Debit Card,8,Fast,310,25-35,Female,Electric Car,5,Morning,Office,Compliant,All safety measures followed,EV Charging Board,95,None
CS035,Hauz Khas,45417,205,100,Evening,95,2000,2550,21.2,12.88,Credit Card,7,Fast,320,35-45,Male,Electric Car,6,Evening,Shopping Mall,Non-compliant,No proper lighting,EV Charging Authority,80,Limited resources for upgrades
